Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=9, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
GPU : NVIDIA GeForce RTX 4090
Device  9 	 Train loss 5.7975 	 LR 0.0099 	 Train images 200 	 Round   1
Device  9 	 Train loss 3.7146 	 LR 0.0098 	 Train images 200 	 Round   2
Device  9 	 Train loss 3.3505 	 LR 0.0097 	 Train images 200 	 Round   3
Device  9 	 Train loss 3.5067 	 LR 0.0096 	 Train images 200 	 Round   4
Device  9 	 Train loss 2.4763 	 LR 0.0095 	 Train images 200 	 Round   5
Device  9 	 Train loss 2.5650 	 LR 0.0094 	 Train images 200 	 Round   6
Device  9 	 Train loss 2.4161 	 LR 0.0093 	 Train images 200 	 Round   7
Device  9 	 Train loss 2.0599 	 LR 0.0092 	 Train images 200 	 Round   8
Device  9 	 Train loss 2.0727 	 LR 0.0091 	 Train images 200 	 Round   9
Device  9 	 Train loss 2.0293 	 LR 0.0090 	 Train images 200 	 Round  10
Device  9 	 Train loss 1.8172 	 LR 0.0090 	 Train images 200 	 Round  11
Device  9 	 Train loss 1.8309 	 LR 0.0089 	 Train images 200 	 Round  12
Device  9 	 Train loss 1.7112 	 LR 0.0088 	 Train images 200 	 Round  13
Device  9 	 Train loss 1.6449 	 LR 0.0087 	 Train images 200 	 Round  14
Device  9 	 Train loss 1.6094 	 LR 0.0086 	 Train images 200 	 Round  15
Device  9 	 Train loss 1.5247 	 LR 0.0085 	 Train images 200 	 Round  16
Device  9 	 Train loss 1.4764 	 LR 0.0084 	 Train images 200 	 Round  17
Device  9 	 Train loss 1.4160 	 LR 0.0083 	 Train images 200 	 Round  18
Device  9 	 Train loss 1.3568 	 LR 0.0083 	 Train images 200 	 Round  19
Device  9 	 Train loss 1.3242 	 LR 0.0082 	 Train images 200 	 Round  20
Device  9 	 Train loss 1.2712 	 LR 0.0081 	 Train images 200 	 Round  21
Device  9 	 Train loss 1.2425 	 LR 0.0080 	 Train images 200 	 Round  22
Device  9 	 Train loss 1.2237 	 LR 0.0079 	 Train images 200 	 Round  23
Device  9 	 Train loss 1.1828 	 LR 0.0079 	 Train images 200 	 Round  24
Device  9 	 Train loss 1.1570 	 LR 0.0078 	 Train images 200 	 Round  25
Device  9 	 Train loss 1.1262 	 LR 0.0077 	 Train images 200 	 Round  26
Device  9 	 Train loss 1.0716 	 LR 0.0076 	 Train images 200 	 Round  27
Device  9 	 Train loss 1.0627 	 LR 0.0075 	 Train images 200 	 Round  28
Device  9 	 Train loss 1.0407 	 LR 0.0075 	 Train images 200 	 Round  29
Device  9 	 Train loss 1.0293 	 LR 0.0074 	 Train images 200 	 Round  30
Device  9 	 Train loss 0.9917 	 LR 0.0073 	 Train images 200 	 Round  31
Device  9 	 Train loss 0.9635 	 LR 0.0072 	 Train images 200 	 Round  32
Device  9 	 Train loss 0.9660 	 LR 0.0072 	 Train images 200 	 Round  33
Device  9 	 Train loss 0.9369 	 LR 0.0071 	 Train images 200 	 Round  34
Device  9 	 Train loss 0.9184 	 LR 0.0070 	 Train images 200 	 Round  35
Device  9 	 Train loss 0.9052 	 LR 0.0070 	 Train images 200 	 Round  36
Device  9 	 Train loss 0.8744 	 LR 0.0069 	 Train images 200 	 Round  37
Device  9 	 Train loss 0.8659 	 LR 0.0068 	 Train images 200 	 Round  38
Device  9 	 Train loss 0.8678 	 LR 0.0068 	 Train images 200 	 Round  39
Device  9 	 Train loss 0.8528 	 LR 0.0067 	 Train images 200 	 Round  40
Device  9 	 Train loss 0.8432 	 LR 0.0066 	 Train images 200 	 Round  41
Device  9 	 Train loss 0.8019 	 LR 0.0066 	 Train images 200 	 Round  42
